Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON,Average_Temperature
1971,-0.02,-0.15,-0.18,-0.07,-0.05,-0.16,-0.08,-0.01,-0.05,-0.04,-0.07,-0.08,-0.08,-0.08,-0.1,-0.1,-0.08,-0.06,-0.08
1972,-0.23,-0.18,0.02,0.0,-0.03,0.04,0.01,0.16,0.02,0.08,0.02,0.18,0.01,-0.01,-0.16,0.0,0.07,0.04,0.0075
1973,0.29,0.32,0.29,0.27,0.23,0.19,0.12,0.05,0.09,0.1,0.04,-0.07,0.16,0.18,0.26,0.26,0.12,0.08,0.16
1974,-0.1,-0.27,-0.05,-0.12,-0.04,-0.05,-0.03,0.1,-0.08,-0.06,-0.08,-0.08,-0.07,-0.07,-0.14,-0.07,0.01,-0.07,-0.07166666666666666
1975,0.1,0.08,0.12,0.04,0.16,-0.01,-0.01,-0.17,-0.02,-0.11,-0.17,-0.17,-0.01,-0.01,0.03,0.11,-0.06,-0.1,-0.013333333333333341
1976,-0.03,-0.06,-0.21,-0.07,-0.21,-0.12,-0.1,-0.12,-0.07,-0.24,-0.06,0.11,-0.1,-0.12,-0.09,-0.16,-0.11,-0.12,-0.09833333333333333
1977,0.18,0.22,0.24,0.26,0.33,0.27,0.2,0.18,0.02,0.03,0.16,0.03,0.18,0.18,0.17,0.28,0.22,0.07,0.17666666666666667
1978,0.06,0.1,0.19,0.17,0.09,-0.01,0.04,-0.14,0.06,0.03,0.13,0.08,0.07,0.06,0.06,0.15,-0.04,0.07,0.06666666666666667
1979,0.08,-0.1,0.19,0.15,0.03,0.14,0.04,0.17,0.25,0.26,0.28,0.47,0.16,0.13,0.02,0.12,0.11,0.26,0.16333333333333333
1980,0.29,0.39,0.29,0.3,0.35,0.2,0.22,0.18,0.2,0.13,0.3,0.22,0.26,0.28,0.39,0.31,0.2,0.21,0.25583333333333336
1981,0.53,0.42,0.48,0.32,0.24,0.29,0.32,0.35,0.15,0.12,0.23,0.41,0.32,0.31,0.39,0.35,0.32,0.16,0.3216666666666667
1982,0.05,0.15,0.03,0.15,0.18,0.05,0.14,0.03,0.14,0.13,0.18,0.42,0.14,0.14,0.2,0.12,0.08,0.15,0.13749999999999998
1983,0.53,0.43,0.41,0.27,0.34,0.23,0.18,0.36,0.37,0.17,0.3,0.17,0.31,0.33,0.46,0.34,0.26,0.28,0.3133333333333333
1984,0.31,0.14,0.26,0.06,0.33,0.02,0.19,0.19,0.21,0.13,0.06,-0.04,0.16,0.17,0.2,0.21,0.14,0.14,0.155
1985,0.22,-0.04,0.17,0.12,0.14,0.15,0.04,0.17,0.13,0.12,0.05,0.14,0.12,0.1,0.05,0.15,0.12,0.1,0.11750000000000001
1986,0.26,0.37,0.3,0.22,0.21,0.12,0.11,0.16,0.03,0.15,0.1,0.13,0.18,0.18,0.26,0.24,0.13,0.09,0.17999999999999997
1987,0.32,0.43,0.18,0.24,0.25,0.35,0.4,0.25,0.35,0.33,0.29,0.46,0.32,0.29,0.29,0.23,0.33,0.32,0.32083333333333336
1988,0.56,0.44,0.51,0.42,0.44,0.4,0.33,0.39,0.37,0.38,0.12,0.29,0.39,0.4,0.49,0.46,0.37,0.29,0.3875
1989,0.12,0.3,0.36,0.29,0.18,0.15,0.34,0.33,0.34,0.29,0.2,0.37,0.27,0.27,0.24,0.27,0.28,0.28,0.2725
1990,0.41,0.44,0.8,0.56,0.45,0.37,0.46,0.34,0.23,0.45,0.46,0.4,0.45,0.45,0.41,0.6,0.39,0.38,0.44750000000000006
1991,0.43,0.5,0.35,0.51,0.34,0.53,0.47,0.39,0.44,0.29,0.3,0.32,0.41,0.41,0.44,0.4,0.46,0.34,0.4058333333333333
1992,0.47,0.4,0.48,0.27,0.31,0.25,0.09,0.08,-0.01,0.06,0.03,0.22,0.22,0.23,0.4,0.36,0.14,0.03,0.22083333333333335
1993,0.34,0.37,0.36,0.28,0.28,0.23,0.25,0.11,0.11,0.23,0.03,0.18,0.23,0.23,0.31,0.31,0.19,0.12,0.23083333333333333
1994,0.26,0.02,0.29,0.41,0.28,0.43,0.3,0.21,0.31,0.42,0.44,0.39,0.31,0.3,0.15,0.33,0.32,0.39,0.31333333333333335
1995,0.52,0.79,0.47,0.47,0.27,0.43,0.45,0.45,0.33,0.47,0.44,0.26,0.45,0.46,0.57,0.4,0.44,0.41,0.4458333333333333
1996,0.24,0.46,0.33,0.33,0.27,0.25,0.36,0.48,0.25,0.23,0.38,0.37,0.33,0.32,0.32,0.31,0.37,0.29,0.32916666666666666
1997,0.33,0.4,0.52,0.33,0.34,0.54,0.34,0.41,0.52,0.61,0.64,0.59,0.47,0.45,0.37,0.4,0.43,0.59,0.4641666666666666
1998,0.58,0.88,0.63,0.63,0.68,0.77,0.66,0.65,0.42,0.41,0.43,0.55,0.61,0.61,0.68,0.65,0.69,0.42,0.6075
1999,0.48,0.64,0.32,0.32,0.26,0.36,0.38,0.31,0.39,0.34,0.37,0.4,0.38,0.39,0.55,0.3,0.35,0.36,0.38083333333333336
2000,0.25,0.56,0.55,0.56,0.36,0.4,0.39,0.42,0.39,0.26,0.3,0.28,0.39,0.4,0.4,0.49,0.4,0.32,0.39333333333333337
2001,0.45,0.44,0.55,0.5,0.57,0.52,0.59,0.49,0.51,0.5,0.72,0.56,0.53,0.51,0.39,0.54,0.53,0.58,0.5333333333333332
2002,0.77,0.78,0.88,0.58,0.64,0.53,0.61,0.53,0.63,0.54,0.59,0.44,0.63,0.64,0.7,0.7,0.56,0.59,0.6266666666666667
2003,0.74,0.58,0.6,0.55,0.6,0.48,0.58,0.64,0.62,0.72,0.53,0.75,0.62,0.59,0.59,0.58,0.57,0.62,0.6158333333333333
2004,0.58,0.72,0.63,0.61,0.37,0.44,0.26,0.45,0.49,0.61,0.72,0.5,0.53,0.55,0.68,0.54,0.38,0.61,0.5316666666666667
2005,0.74,0.6,0.74,0.67,0.63,0.64,0.61,0.6,0.72,0.75,0.73,0.67,0.68,0.66,0.62,0.68,0.62,0.73,0.6749999999999999
2006,0.56,0.73,0.63,0.46,0.48,0.66,0.54,0.7,0.66,0.7,0.74,0.79,0.64,0.63,0.65,0.52,0.63,0.7,0.6375000000000001
2007,1.01,0.7,0.71,0.76,0.68,0.61,0.59,0.6,0.6,0.58,0.58,0.49,0.66,0.69,0.83,0.72,0.6,0.59,0.6591666666666667
2008,0.3,0.38,0.75,0.54,0.5,0.49,0.6,0.46,0.61,0.67,0.68,0.54,0.54,0.54,0.39,0.59,0.52,0.65,0.5433333333333333
2009,0.65,0.52,0.53,0.61,0.65,0.64,0.74,0.69,0.71,0.65,0.79,0.67,0.65,0.64,0.57,0.6,0.69,0.72,0.6541666666666667
2010,0.75,0.83,0.92,0.85,0.75,0.68,0.63,0.67,0.64,0.71,0.81,0.45,0.72,0.74,0.75,0.84,0.66,0.72,0.7241666666666666
2011,0.52,0.48,0.65,0.64,0.53,0.62,0.7,0.75,0.56,0.66,0.59,0.6,0.61,0.6,0.48,0.61,0.69,0.6,0.6083333333333333
2012,0.47,0.49,0.57,0.73,0.78,0.64,0.58,0.66,0.72,0.8,0.78,0.53,0.65,0.65,0.52,0.69,0.63,0.77,0.6458333333333334
2013,0.71,0.62,0.67,0.53,0.6,0.69,0.6,0.7,0.76,0.69,0.83,0.7,0.68,0.66,0.62,0.6,0.66,0.76,0.6749999999999999
2014,0.76,0.55,0.78,0.8,0.86,0.67,0.58,0.83,0.87,0.8,0.67,0.78,0.75,0.74,0.67,0.81,0.69,0.78,0.7458333333333332
2015,0.87,0.9,0.96,0.75,0.79,0.81,0.73,0.79,0.84,1.08,1.06,1.17,0.89,0.86,0.85,0.83,0.78,0.99,0.8958333333333334
2016,1.18,1.37,1.35,1.09,0.95,0.81,0.84,1.02,0.9,0.88,0.91,0.86,1.01,1.04,1.24,1.13,0.89,0.9,1.0133333333333334
2017,1.02,1.13,1.16,0.94,0.91,0.71,0.81,0.87,0.75,0.89,0.88,0.93,0.92,0.91,1.01,1.0,0.8,0.84,0.9166666666666669
2018,0.82,0.85,0.88,0.88,0.81,0.76,0.83,0.78,0.8,1.01,0.83,0.92,0.85,0.85,0.87,0.86,0.79,0.88,0.8475
2019,0.93,0.94,1.16,1.0,0.86,0.9,0.93,0.95,0.92,0.99,0.99,1.11,0.97,0.96,0.93,1.01,0.93,0.97,0.9733333333333333
2020,1.17,1.24,1.18,1.12,0.99,0.91,0.88,0.86,0.96,0.87,1.1,0.79,1.01,1.03,1.18,1.1,0.88,0.98,1.0058333333333331
2021,0.81,0.64,0.89,0.76,0.79,0.84,0.91,0.81,0.92,0.99,0.93,0.87,0.85,0.84,0.75,0.81,0.85,0.94,0.8466666666666666
2022,0.91,0.89,1.04,0.83,0.84,0.92,0.94,0.94,0.88,0.96,0.74,0.8,0.89,0.9,0.89,0.9,0.93,0.86,0.8908333333333333
2023,0.88,0.97,1.23,0.99,0.94,1.08,1.19,1.19,1.48,1.34,1.42,1.35,1.17,1.12,0.88,1.05,1.15,1.41,1.1716666666666666
2024,1.24,1.44,1.39,1.31,1.16,1.24,1.2,1.3,1.26,,,,,,1.34,1.29,1.25,,1.2822222222222224
